Date No Year,date 20, pm25 20, o3 20, no2 20,date 19, pm25 19, o3 19, no2 19,date 18, pm25 18, o3 18, no2 18,date 17, pm25 17, o3 17, no2 17,date 16, pm25 16, o3 16, no2 16,average pm25,average o3,average no2,confidence 90 pm25,confidence 95 pm25,confidence 99 pm25,confidence 90 o3,confidence 95 o3,confidence 99 o3,confidence 90 no2,confidence 95 no2,confidence 99 no2
2/26/1900,2/26/2020,51,28,6,2/26/2019,17,30,3,2/26/2018,18,34,2,2/26/2017,33,31,1,2/27/2016,9,32,2,19.25,31.75,2,8.234542053,9.812062051,12.8952354,1.404561178,1.673637871,2.199533005,0.671508681,0.800151946,1.05157791
2/27/1900,2/27/2020,33,29,3,2/27/2019,18,26,13,2/27/2018,30,35,3,2/27/2017,11,29,3,2/28/2016,25,32,3,21,30.5,5.5,6.815068791,8.120655336,10.67235018,3.185245352,3.795453936,4.988071998,4.112134067,4.899909961,6.439573259
2/28/1900,2/28/2020,29,29,2,2/28/2019,27,28,11,2/28/2018,27,34,7,2/28/2017,24,26,12,2/29/2016,23,31,5,25.25,29.75,8.75,1.695476311,2.020284633,2.655104073,2.878493847,3.429936973,4.507701281,2.717329389,3.237897677,4.255318865
2/29/1900,2/29/2020,17,24,3,3/1/2019,31,34,13,3/1/2018,40,30,2,3/1/2017,46,16,15,3/1/2016,23,25,4,35,26.25,8.5,8.306103664,9.89733297,13.00730039,6.383748764,7.606705824,9.996906024,5.308742253,6.325756559,8.313453329
3/1/1900,3/1/2020,23,30,4,3/2/2019,38,34,16,3/2/2018,29,29,2,3/2/2017,53,30,2,3/2/2016,14,27,4,33.5,30,6,13.43856486,16.0130377,21.04469881,2.421158982,2.88498887,3.791518074,5.537402443,6.59822198,8.671533591
3/2/1900,3/2/2020,24,29,6,3/3/2019,59,36,3,3/3/2018,26,28,1,3/3/2017,9,31,3,3/3/2016,19,27,10,28.25,30.5,4.25,17.80922807,21.22100413,27.8891269,3.323798395,3.960550069,5.205045096,3.246589961,3.868550545,5.084137227
3/3/1900,3/3/2020,18,28,7,3/4/2019,30,32,3,3/4/2018,15,28,1,3/4/2017,6,31,2,3/4/2016,24,29,21,18.75,30,6.75,8.635481541,10.28981092,13.52310384,1.501539059,1.789194144,2.35139969,7.841858714,9.344150993,12.28029603
3/4/1900,3/4/2020,47,30,2,3/5/2019,14,31,4,3/5/2018,11,31,6,3/5/2017,8,32,7,3/5/2016,38,35,22,17.75,32.25,9.75,11.28404355,13.44576721,17.67073347,1.556828832,1.855075972,2.437983088,6.794360543,8.095979936,10.63992121
3/5/1900,3/5/2020,18,26,5,3/6/2019,34,32,4,3/6/2018,21,30,5,3/6/2017,20,28,9,3/6/2016,43,39,5,29.5,32.25,5.75,9.071582739,10.80945755,14.20603528,3.937068627,4.691306623,6.165422,1.823612851,2.172968737,2.855765001
3/6/1900,3/6/2020,23,31,5,3/7/2019,22,29,4,3/7/2018,21,29,4,3/7/2017,27,24,13,3/7/2016,41,29,10,27.75,27.75,7.75,7.578682795,9.030557544,11.86816438,2.056067034,2.449954981,3.219786629,3.700920661,4.409918965,5.795615933
3/7/1900,3/7/2020,26,32,3,3/8/2019,19,38,2,3/8/2018,18,31,4,3/8/2017,49,36,2,3/8/2016,51,26,13,34.25,32.75,5.25,14.97592332,17.84491329,23.45219143,4.422535987,5.269776661,6.925660499,4.319372262,5.146849501,6.764106825
3/8/1900,3/8/2020,17,33,2,3/9/2019,25,38,4,3/9/2018,19,31,4,3/9/2017,10,32,2,3/9/2016,51,39,8,26.25,35,4.5,14.48615595,17.26131947,22.68521914,3.357543406,4.00075973,5.257889549,2.069728759,2.46623393,3.241180796
3/9/1900,3/9/2020,26,39,3,3/10/2019,37,35,6,3/10/2018,17,31,2,3/10/2017,12,28,6,3/10/2016,37,23,14,25.75,29.25,7,10.81473018,12.88654584,16.93579201,4.159832329,4.956745946,6.514268404,4.139457518,4.932467861,6.482361592
3/10/1900,3/10/2020,34,30,4,3/11/2019,22,37,6,3/11/2018,10,31,2,3/11/2017,25,26,2,3/11/2016,48,29,4,26.25,30.75,3.5,13.06209532,15.56444657,20.45515013,3.820819487,4.552787229,5.983376659,1.574827451,1.876522649,2.4661688
3/11/1900,3/11/2020,41,27,2,3/12/2019,25,33,5,3/12/2018,14,31,2,3/12/2017,23,18,2,3/12/2016,24,33,3,21.5,28.75,3,4.166601792,4.964812259,6.524869336,5.944843259,7.083717657,9.309583065,1.163087154,1.385903824,1.821386368
3/12/1900,3/12/2020,18,26,5,3/13/2019,19,38,5,3/13/2018,19,33,4,3/13/2017,38,27,4,3/13/2016,23,33,3,24.75,32.75,4,7.428446228,8.851539632,11.63289496,3.700920661,4.409918965,5.795615933,0.671508681,0.800151946,1.05157791
3/13/1900,3/13/2020,26,29,3,3/14/2019,39,34,10,3/14/2018,27,30,2,3/14/2017,17,27,4,3/14/2016,18,29,7,25.25,30,5.75,8.397215388,10.00589929,13.14998071,2.421158982,2.88498887,3.791518074,2.878493847,3.429936973,4.507701281
3/14/1900,3/14/2020,24,32,1,3/15/2019,50,34,7,3/15/2018,10,33,2,3/15/2017,18,31,3,3/15/2016,27,20,9,26.25,29.5,5.25,14.21910713,16.94311118,22.26702257,5.308742253,6.325756559,8.313453329,2.717329389,3.237897677,4.255318865
3/15/1900,3/15/2020,13,31,1,3/16/2019,22,32,1,3/16/2018,15,32,1,3/16/2017,8,36,3,3/16/2016,23,23,5,17,30.75,2.5,5.737372688,6.836501224,8.984685599,4.523347474,5.389900957,7.083530585,1.574827451,1.876522649,2.4661688
3/16/1900,3/16/2020,13,30,4,3/17/2019,14,33,2,3/17/2018,17,33,5,3/17/2017,11,37,9,3/17/2016,24,26,9,16.5,32.25,6.25,4.579078703,5.456308813,7.170805301,3.76134785,4.481922402,5.890244489,2.799071796,3.335299762,4.383326903
3/17/1900,3/17/2020,20,28,2,3/18/2019,10,36,6,3/18/2018,17,31,8,3/18/2017,24,39,21,3/18/2016,33,31,2,21,34.25,9.25,8.086035296,9.635105336,12.66267486,3.246589961,3.868550545,5.084137227,6.76109542,8.056342097,10.58782825
3/18/1900,3/18/2020,32,30,4,3/19/2019,19,35,19,3/19/2018,20,32,7,3/19/2017,44,38,18,3/19/2016,15,31,4,24.5,34,12,10.83815844,12.91446232,16.97248049,2.600741939,3.098975162,4.072743732,6.263416008,7.463320501,9.808465768
3/19/1900,3/19/2020,17,24,7,3/20/2019,29,41,8,3/20/2018,22,32,11,3/20/2017,52,41,11,3/20/2016,16,31,4,29.75,36.25,8.5,12.95811679,15.4405485,20.29232048,4.523347474,5.389900957,7.083530585,2.727681158,3.25023257,4.271529662
