,Date wo Year,Date 20,Ozone 20,PM25 20,Date 19,Ozone 19,PM25 19,Date 18,Ozone 18,PM25 18,Date 17,Ozone 17,PM25 17,Date 16,Ozone 16,PM25 16,Avg Ozone,confidence 90 Ozone,confidence 95 Ozone,confidence 99 Ozone,Avg PM25,confidence 90 PM25,confidence 95 PM25,confidence 99 PM25,DateMonth,DateMonthaxis
65,3/6/1900,3/6/2020,40,46,3/7/2019,44,56,3/7/2018,39,45,3/7/2017,47,66,3/6/2016,40,47,42.5,3.040384866,3.62284202,4.761221488,53.5,7.902718608,9.416670029,12.3756022,6-Mar, 
66,3/7/1900,3/7/2020,40,23,3/8/2019,46,66,3/8/2018,40,34,3/8/2017,47,54,3/7/2016,44,78,44.25,2.545983345,3.033726272,3.986992154,58,15.43009475,18.38609192,24.16342072,7-Mar, 
67,3/8/1900,3/8/2020,41,29,3/9/2019,58,81,3/9/2018,38,40,3/9/2017,50,52,3/8/2016,49,85,48.75,6.76109542,8.056342097,10.58782825,64.5,18.07468871,21.53732,28.30483642,8-Mar, 
68,3/9/1900,3/9/2020,48,50,3/10/2019,49,59,3/10/2018,42,32,3/10/2017,41,35,3/9/2016,80,110,53,15.09028078,17.98117861,23.63127442,59,29.67582171,35.36092259,46.47212975,9-Mar, 
69,3/10/1900,3/10/2020,64,48,3/11/2019,48,48,3/11/2018,43,33,3/11/2017,40,30,3/10/2016,74,70,51.25,12.76528995,15.21078116,19.990355,45.25,15.03602258,17.91652597,23.54630645,10-Mar, 
70,3/11/1900,3/11/2020,74,30,3/12/2019,45,36,3/12/2018,40,82,3/12/2017,38,45,3/11/2016,41,27,41,2.421158982,2.88498887,3.791518074,47.5,19.85781857,23.66205027,31.09720533,11-Mar, 
71,3/12/1900,3/12/2020,36,52,3/13/2019,47,56,3/13/2018,41,28,3/13/2017,40,39,3/12/2016,40,29,42,2.768701221,3.29911099,4.335766795,38,10.68099944,12.72719583,16.7263706,12-Mar, 
72,3/13/1900,3/13/2020,42,46,3/14/2019,54,54,3/14/2018,39,47,3/14/2017,40,75,3/13/2016,42,58,43.75,5.712759221,6.807172469,8.946141081,58.5,9.788837044,11.66411877,15.32925051,13-Mar, 
73,3/14/1900,3/14/2020,39,22,3/15/2019,51,64,3/15/2018,47,44,3/15/2017,42,33,3/14/2016,40,30,45,4.084627845,4.867134276,6.396498707,42.75,12.65887373,15.08397841,19.82370794,14-Mar, 
74,3/15/1900,3/15/2020,41,23,3/16/2019,43,39,3/16/2018,42,40,3/16/2017,48,41,3/15/2016,39,42,43,3.077239362,3.66675686,4.81893537,40.5,1.061748451,1.265151312,1.662690666,15-Mar,15-Mar
75,3/16/1900,3/16/2020,40,25,3/17/2019,44,36,3/17/2018,45,28,3/17/2017,51,45,3/16/2016,38,54,44.5,4.37770101,5.216352491,6.855449238,40.75,9.240871997,11.01117814,14.47114107,16-Mar, 
76,3/17/1900,3/17/2020,36,39,3/18/2019,43,33,3/18/2018,45,26,3/18/2017,48,73,3/17/2016,41,36,44.25,2.455831281,2.926303462,3.845814652,42,17.34261362,20.66499872,27.15841193,17-Mar, 
77,3/18/1900,3/18/2020,42,36,3/19/2019,44,42,3/19/2018,44,54,3/19/2017,51,32,3/18/2016,41,38,45,3.489261461,4.157711473,5.464159103,41.5,7.641638975,9.105574458,11.96675332,18-Mar, 
78,3/19/1900,3/19/2020,36,40,3/20/2019,49,61,3/20/2018,40,52,3/20/2017,67,39,3/19/2016,41,24,49.25,10.28033517,12.2497749,16.09893315,44,13.2442214,15.78146318,20.74035831,19-Mar, 
79,3/20/1900,3/20/2020,38,61,3/21/2019,45,48,3/21/2018,41,53,3/21/2017,58,53,3/20/2016,40,28,46,6.815068791,8.120655336,10.67235018,45.5,9.788837044,11.66411877,15.32925051,20-Mar, 
80,3/21/1900,3/21/2020,41,28,3/22/2019,44,23,3/22/2018,45,35,3/22/2017,44,45,3/21/2016,51,31,46,2.768701221,3.29911099,4.335766795,33.5,7.522695699,8.963844804,11.78048898,21-Mar, 
