date, pm25, o3, no2, co
2018/6/3, 32, 20, , 1
2018/6/4, 10, 27, , 1
2018/6/5, 15, 34, , 2
2018/6/6, 20, 26, , 1
2018/6/7, 19, 25, , 2
2018/6/8, 19, 40, , 2
2018/6/9, 39, 44, , 2
2018/6/10, 38, 27, , 2
2018/6/11, 28, 35, , 1
2018/6/12, 21, 31, , 1
2018/6/13, 18, 26, , 1
2018/6/14, 29, 37, , 1
2018/6/15, 18, 27, , 1
2018/6/16, 12, 37, , 2
2018/6/17, 30, 64, , 2
2018/6/18, 44, 72, , 3
2018/6/19, 58, 33, , 1
2018/6/20, 27, 48, , 2
2018/6/21, 25, 39, , 2
2018/6/22, 29, 36, , 1
2018/6/23, 25, 26, , 1
2018/6/24, 20, 38, , 2
2018/6/25, 43, 28, , 1
2018/6/26, 17, 29, , 1
2018/6/27, 24, 28, , 1
2018/6/28, 18, 38, , 2
2018/6/29, 32, 44, , 1
2018/6/30, 31, 72, , 2
2018/7/1, 47, 80, , 3
2018/1/2, 37, 18, , 
2018/1/3, 43, 7, , 
2018/1/4, 56, 20, , 
2018/1/5, 37, 25, , 
2018/1/6, 37, 23, , 
2018/1/7, 37, 21, , 
2018/1/8, 42, 6, , 
2018/1/9, 53, 20, , 
2018/1/10, 53, 9, , 
2018/1/11, 48, 1, , 
2018/1/12, 54, 12, , 
