"Date","Main Pollutant","Site Name","Site ID","PM2.5 AQI Value"
"12/27/2015","","PINNACLE STATE PARK","36-101-0003","10"
"12/28/2015","","PINNACLE STATE PARK","36-101-0003","8"
"12/29/2015","","PINNACLE STATE PARK","36-101-0003","5"
"12/30/2015","","PINNACLE STATE PARK","36-101-0003","13"
"12/31/2015","","PINNACLE STATE PARK","36-101-0003","7"
"01/01/2016","","PINNACLE STATE PARK","36-101-0003","10"
"01/02/2016","","PINNACLE STATE PARK","36-101-0003","25"
"01/03/2016","","PINNACLE STATE PARK","36-101-0003","16"
"01/04/2016","","PINNACLE STATE PARK","36-101-0003","9"
"01/05/2016","","PINNACLE STATE PARK","36-101-0003","13"
"01/06/2016","","PINNACLE STATE PARK","36-101-0003","12"
"01/07/2016","","PINNACLE STATE PARK","36-101-0003","38"
"01/08/2016","","PINNACLE STATE PARK","36-101-0003","43"
"01/09/2016","","PINNACLE STATE PARK","36-101-0003","16"
"01/10/2016","","PINNACLE STATE PARK","36-101-0003","3"
"01/11/2016","","PINNACLE STATE PARK","36-101-0003","11"
"01/12/2016","","PINNACLE STATE PARK","36-101-0003","21"
"01/13/2016","","PINNACLE STATE PARK","36-101-0003","17"
"01/14/2016","","PINNACLE STATE PARK","36-101-0003","31"
"01/15/2016","","PINNACLE STATE PARK","36-101-0003","35"
"01/16/2016","","PINNACLE STATE PARK","36-101-0003","38"
"01/17/2016","","PINNACLE STATE PARK","36-101-0003","6"
"01/18/2016","","PINNACLE STATE PARK","36-101-0003","12"
"01/19/2016","","PINNACLE STATE PARK","36-101-0003","11"
"01/20/2016","","PINNACLE STATE PARK","36-101-0003","15"
"01/22/2016","","PINNACLE STATE PARK","36-101-0003","8"
"01/23/2016","","PINNACLE STATE PARK","36-101-0003","12"
"01/24/2016","","PINNACLE STATE PARK","36-101-0003","20"
"01/25/2016","","PINNACLE STATE PARK","36-101-0003","33"
"01/26/2016","","PINNACLE STATE PARK","36-101-0003","33"
"01/27/2016","","PINNACLE STATE PARK","36-101-0003","12"
"01/28/2016","","PINNACLE STATE PARK","36-101-0003","23"
"01/29/2016","","PINNACLE STATE PARK","36-101-0003","15"
"01/30/2016","","PINNACLE STATE PARK","36-101-0003","16"
"01/31/2016","","PINNACLE STATE PARK","36-101-0003","26"
"02/01/2016","","PINNACLE STATE PARK","36-101-0003","9"
"02/02/2016","","PINNACLE STATE PARK","36-101-0003","11"
"02/03/2016","","PINNACLE STATE PARK","36-101-0003","8"
"02/04/2016","","PINNACLE STATE PARK","36-101-0003","11"
"02/05/2016","","PINNACLE STATE PARK","36-101-0003","10"
"02/06/2016","","PINNACLE STATE PARK","36-101-0003","19"
"02/07/2016","","PINNACLE STATE PARK","36-101-0003","29"
"02/08/2016","","PINNACLE STATE PARK","36-101-0003","28"
"02/09/2016","","PINNACLE STATE PARK","36-101-0003","25"
"02/10/2016","","PINNACLE STATE PARK","36-101-0003","7"
"02/11/2016","","PINNACLE STATE PARK","36-101-0003","3"
"02/12/2016","","PINNACLE STATE PARK","36-101-0003","15"
"02/13/2016","","PINNACLE STATE PARK","36-101-0003","9"
"02/14/2016","","PINNACLE STATE PARK","36-101-0003","14"
